Case1Low,Case1Mid,Case1High,Case2,Case3,Case4
766.0,248.0,9314.0,47.5,54.42,44.5
7820.0,24030.0,34638.0,109.69,77.7,36.93
1114.0,6752.0,10262.0,27.87,28.79,21.95
8928.0,19436.0,20634.0,35.72,28.69,20.52
440.0,1178.0,8200.0,46.52,39.21,39.12
1530.0,7524.0,21106.0,45.65,42.96,46.31
1466.0,12818.0,30370.0,27.34,28.47,18.34
280.0,184.0,1186.0,75.08,69.99,59.4
692.0,2164.0,7148.0,150.34,137.41,114.77
98.0,698.0,2826.0,86.54,92.51,52.46
2018.0,6064.0,11190.0,52.36,58.96,34.38
272.0,1650.0,92.0,161.95,171.76,60.2
1484.0,16298.0,26798.0,105.8,96.39,61.99
1808.0,18696.0,30078.0,41.53,36.61,24.05
152.0,756.0,848.0,103.5,67.91,26.57
276.0,276.0,596.0,446.03,328.19,165.28
6156.0,22522.0,19760.0,184.06,147.29,24.1
46.0,56.0,218.0,93.45,93.02,70.6
8572.0,28244.0,34544.0,55.58,62.35,31.74
308.0,1336.0,338.0,132.45,120.36,62.39
50644.0,55948.0,62928.0,109.07,99.98,40.67
1272.0,6458.0,16416.0,77.7,72.04,91.65
22.0,22.0,22.0,170.95,168.01,57.82
